Date,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,Middlesex,Nantucket,Norfolk,Plymouth,Suffolk,Worcester,Unknown
3/10/2020,0,7,0,0,1,0,0,0,41,0,22,0,20,1,0
3/11/2020,0,7,0,0,1,0,0,0,44,0,23,0,19,1,0
3/12/2020,0,9,0,0,2,0,0,0,49,0,24,0,22,1,1
3/13/2020,0,9,0,0,2,0,0,0,60,0,24,0,26,2,0
3/14/2020,1,9,1,0,5,0,0,0,65,0,28,0,27,2,0
3/15/2020,1,9,1,0,6,0,1,0,75,0,31,1,31,6,2
3/16/2020,1,11,2,0,8,0,1,0,83,0,36,3,36,6,10
3/17/2020,2,14,5,0,8,0,1,0,89,0,43,5,42,8,1
3/18/2020,2,17,5,0,14,1,2,0,100,0,45,5,51,10,4
3/19/2020,5,18,6,0,19,1,3,1,119,0,52,5,72,14,13
3/20/2020,9,20,6,0,29,1,3,2,144,0,64,11,86,19,19
3/21/2020,11,21,14,0.5,41,2,9,2,177,0.5,69,20,108,24,1
3/22/2020,24,23,24,0.5,60,2,12,4,199,0.5,75,25,126,37,34
3/23/2020,30,26,25,0.5,73,2,15,6,232,0.5,82,32,154,42,57
3/24/2020,40,37,31,1,118,5,24,8,304,1,129,64,234,73,90
3/25/2020,51,71,67,1.5,177,14,45,11,446,1.5,222,101,342,129,159
3/26/2020,67,73,90,1.5,247,16,55,17,538,1.5,292,138,448,166,267
3/27/2020,100,105,129,2,350,24,90,20,685,2,393,187,631,219,303
3/28/2020,133,119,179,4,472,39,183,30,842,4,490,272,843,291,356
3/29/2020,148,151,208,4,570,41,201,37,981,4,548,325,940,337,460
3/30/2020,173,162,263,4,653,49,255,46,1141,4,628,380,1115,390,489
3/31/2020,191,171,306,4,784,61,354,69,1340,4,738,459,1373,433,333
4/1/2020,255,183,366,5.5,885,72,475,81,1582,5.5,829,561,1624,563,251
4/2/2020,283,213,425,5,1039,85,546,102,1870,7,938,621,1896,667,270
4/3/2020,314,240,517,7,1238,89,661,114,2202,9,1045,745,2183,825,213
4/4/2020,330,253,601,7,1400,95,733,125,2468,9,1199,898,2429,915,274
4/5/2020,347,258,659,8,1506,100,768,128,2632,9,1271,963,2658,978,215
4/6/2020,383,268,722,8,1653,107,889,147,2950,9,1382,1067,2929,1077,246
4/7/2020,405,278,768,9,1841,118,997,158,3187,9,1592,1194,3245,1172,229
4/8/2020,423,281,835,8,2103,117,1081,164,3545,9,1778,1327,3600,1296,223
4/9/2020,444,304,994,9,2336,128,1276,177,4045,9,2007,1507,4041,1461,203
4/10/2020,464,329,1086,12,2670,135,1394,194,4447,9,2216,1677,4534,1678,129
4/11/2020,480,336,1191,12,2896,138,1545,204,4872,9,2395,1809,4926,1822,225
4/12/2020,501,350,1327,12,3170,143,1647,219,5660,9,2649,2024,5359,2032,373
4/13/2020,502,355,1394,12,3413,148,1694,224,5983,9,2838,2141,5579,2128,447
4/14/2020,514,360,1435,11,3594,155,1798,233,6254,9,2969,2207,5872,2246,506
4/15/2020,530,370,1508,11,3894,160,1885,239,6681,9,3122,2308,6279,2350,572
4/16/2020,550,382,1605,12,4245,170,1985,248,7206,9,3342,2466,6820,2503,638
4/17/2020,573,383,1659,12,4584,173,2134,258,7744,9,3499,2577,7272,2765,760
4/18/2020,590,385,1698,14,4914,177,2254,306,8297,9,3659,2688,7696,2952,733
4/19/2020,632,387,1731,14,5153,181,2337,317,8737,9,3789,2832,8074,3069,815
