Date,County,Cases
3/10/20,Berkshire,7
3/10/20,Essex,1
3/10/20,Middlesex,41
3/10/20,Norfolk,22
3/10/20,Suffolk,20
3/10/20,Worcester,1
3/11/20,Berkshire,7
3/11/20,Essex,1
3/11/20,Middlesex,44
3/11/20,Norfolk,23
3/11/20,Suffolk,19
3/11/20,Worcester,1
3/12/20,Berkshire,9
3/12/20,Essex,2
3/12/20,Middlesex,49
3/12/20,Norfolk,24
3/12/20,Suffolk,22
3/12/20,Worcester,1
3/12/20,Unknown,1
3/13/20,Berkshire,9
3/13/20,Essex,2
3/13/20,Middlesex,60
3/13/20,Norfolk,24
3/13/20,Suffolk,26
3/13/20,Worcester,2
3/14/20,Barnstable,1
3/14/20,Berkshire,9
3/14/20,Bristol,1
3/14/20,Essex,5
3/14/20,Middlesex,65
3/14/20,Norfolk,28
3/14/20,Suffolk,27
3/14/20,Worcester,2
3/15/20,Barnstable,1
3/15/20,Berkshire,9
3/15/20,Bristol,1
3/15/20,Essex,6
3/15/20,Hampden,1
3/15/20,Middlesex,75
3/15/20,Norfolk,31
3/15/20,Plymouth,1
3/15/20,Suffolk,31
3/15/20,Worcester,6
3/15/20,Unknown,2
3/16/20,Barnstable,1
3/16/20,Berkshire,11
3/16/20,Bristol,2
3/16/20,Essex,8
3/16/20,Hampden,1
3/16/20,Middlesex,83
3/16/20,Norfolk,36
3/16/20,Plymouth,3
3/16/20,Suffolk,36
3/16/20,Worcester,6
3/16/20,Unknown,10
3/17/20,Barnstable,2
3/17/20,Berkshire,14
3/17/20,Bristol,5
3/17/20,Essex,8
3/17/20,Hampden,1
3/17/20,Middlesex,89
3/17/20,Norfolk,43
3/17/20,Plymouth,5
3/17/20,Suffolk,42
3/17/20,Worcester,8
3/17/20,Unknown,1
3/18/20,Barnstable,2
3/18/20,Berkshire,17
3/18/20,Bristol,5
3/18/20,Essex,14
3/18/20,Franklin,1
3/18/20,Hampden,2
3/18/20,Middlesex,100
3/18/20,Norfolk,45
3/18/20,Plymouth,5
3/18/20,Suffolk,51
3/18/20,Worcester,10
3/18/20,Unknown,4
3/19/20,Barnstable,5
3/19/20,Berkshire,18
3/19/20,Bristol,6
3/19/20,Essex,19
3/19/20,Franklin,1
3/19/20,Hampden,3
3/19/20,Hampshire,1
3/19/20,Middlesex,119
3/19/20,Norfolk,52
3/19/20,Plymouth,5
3/19/20,Suffolk,72
3/19/20,Worcester,14
3/19/20,Unknown,13
3/20/20,Barnstable,9
3/20/20,Berkshire,20
3/20/20,Bristol,6
3/20/20,Essex,29
3/20/20,Franklin,1
3/20/20,Hampden,3
3/20/20,Hampshire,2
3/20/20,Middlesex,144
3/20/20,Norfolk,64
3/20/20,Plymouth,11
3/20/20,Suffolk,86
3/20/20,Worcester,19
3/20/20,Unknown,19
3/21/20,Barnstable,11
3/21/20,Berkshire,21
3/21/20,Bristol,14
3/21/20,Dukes,0.5
3/21/20,Essex,41
3/21/20,Franklin,2
3/21/20,Hampden,9
3/21/20,Hampshire,2
3/21/20,Middlesex,177
3/21/20,Nantucket,0.5
3/21/20,Norfolk,69
3/21/20,Plymouth,20
3/21/20,Suffolk,108
3/21/20,Worcester,24
3/21/20,Unknown,26
3/22/20,Barnstable,24
3/22/20,Berkshire,23
3/22/20,Bristol,24
3/22/20,Dukes,0.5
3/22/20,Essex,60
3/22/20,Franklin,2
3/22/20,Hampden,12
3/22/20,Hampshire,4
3/22/20,Middlesex,199
3/22/20,Nantucket,0.5
3/22/20,Norfolk,75
3/22/20,Plymouth,25
3/22/20,Suffolk,126
3/22/20,Worcester,37
3/22/20,Unknown,34
3/23/20,Barnstable,30
3/23/20,Berkshire,26
3/23/20,Bristol,25
3/23/20,Dukes,0.5
3/23/20,Essex,73
3/23/20,Franklin,2
3/23/20,Hampden,15
3/23/20,Hampshire,6
3/23/20,Middlesex,232
3/23/20,Nantucket,0.5
3/23/20,Norfolk,82
3/23/20,Plymouth,32
3/23/20,Suffolk,154
3/23/20,Worcester,42
3/23/20,Unknown,57
3/24/20,Barnstable,40
3/24/20,Berkshire,37
3/24/20,Bristol,31
3/24/20,Dukes,1
3/24/20,Essex,118
3/24/20,Franklin,5
3/24/20,Hampden,24
3/24/20,Hampshire,8
3/24/20,Middlesex,304
3/24/20,Nantucket,1
3/24/20,Norfolk,129
3/24/20,Plymouth,64
3/24/20,Suffolk,234
3/24/20,Worcester,73
3/24/20,Unknown,90
3/25/20,Barnstable,51
3/25/20,Berkshire,71
3/25/20,Bristol,67
3/25/20,Dukes,1.5
3/25/20,Essex,177
3/25/20,Franklin,14
3/25/20,Hampden,45
3/25/20,Hampshire,11
3/25/20,Middlesex,446
3/25/20,Nantucket,1.5
3/25/20,Norfolk,222
3/25/20,Plymouth,101
3/25/20,Suffolk,342
3/25/20,Worcester,129
3/25/20,Unknown,159
3/26/20,Barnstable,67
3/26/20,Berkshire,73
3/26/20,Bristol,90
3/26/20,Dukes,1.5
3/26/20,Essex,247
3/26/20,Franklin,16
3/26/20,Hampden,55
3/26/20,Hampshire,17
3/26/20,Middlesex,538
3/26/20,Nantucket,1.5
3/26/20,Norfolk,292
3/26/20,Plymouth,138
3/26/20,Suffolk,448
3/26/20,Worcester,166
3/26/20,Unknown,267
3/27/20,Barnstable,100
3/27/20,Berkshire,105
3/27/20,Bristol,129
3/27/20,Dukes,2
3/27/20,Essex,350
3/27/20,Franklin,24
3/27/20,Hampden,90
3/27/20,Hampshire,20
3/27/20,Middlesex,685
3/27/20,Nantucket,2
3/27/20,Norfolk,393
3/27/20,Plymouth,187
3/27/20,Suffolk,631
3/27/20,Worcester,219
3/27/20,Unknown,303
3/28/20,Barnstable,133
3/28/20,Berkshire,119
3/28/20,Bristol,179
3/28/20,Dukes,4
3/28/20,Essex,472
3/28/20,Franklin,39
3/28/20,Hampden,183
3/28/20,Hampshire,30
3/28/20,Middlesex,842
3/28/20,Nantucket,4
3/28/20,Norfolk,490
3/28/20,Plymouth,272
3/28/20,Suffolk,843
3/28/20,Worcester,291
3/28/20,Unknown,356
3/29/20,Barnstable,148
3/29/20,Berkshire,151
3/29/20,Bristol,208
3/29/20,Dukes,4
3/29/20,Essex,570
