"Date","County","Cases"
"3/10/2020","Barnstable",0
"3/10/2020","Berkshire",7
"3/10/2020","Bristol",0
"3/10/2020","Dukes",0
"3/10/2020","Essex",1
"3/10/2020","Franklin",0
"3/10/2020","Hampden",0
"3/10/2020","Hampshire",0
"3/10/2020","Middlesex",41
"3/10/2020","Nantucket",0
"3/10/2020","Norfolk",22
"3/10/2020","Plymouth",0
"3/10/2020","Suffolk",20
"3/10/2020","Worcester",1
"3/10/2020","Unknown",0
"3/11/2020","Barnstable",0
"3/11/2020","Berkshire",7
"3/11/2020","Bristol",0
"3/11/2020","Dukes",0
"3/11/2020","Essex",1
"3/11/2020","Franklin",0
"3/11/2020","Hampden",0
"3/11/2020","Hampshire",0
"3/11/2020","Middlesex",44
"3/11/2020","Nantucket",0
"3/11/2020","Norfolk",23
"3/11/2020","Plymouth",0
"3/11/2020","Suffolk",19
"3/11/2020","Worcester",1
"3/11/2020","Unknown",0
"3/12/2020","Barnstable",0
"3/12/2020","Berkshire",9
"3/12/2020","Bristol",0
"3/12/2020","Dukes",0
"3/12/2020","Essex",2
"3/12/2020","Franklin",0
"3/12/2020","Hampden",0
"3/12/2020","Hampshire",0
"3/12/2020","Middlesex",49
"3/12/2020","Nantucket",0
"3/12/2020","Norfolk",24
"3/12/2020","Plymouth",0
"3/12/2020","Suffolk",22
"3/12/2020","Worcester",1
"3/12/2020","Unknown",1
"3/13/2020","Barnstable",0
"3/13/2020","Berkshire",9
"3/13/2020","Bristol",0
"3/13/2020","Dukes",0
"3/13/2020","Essex",2
"3/13/2020","Franklin",0
"3/13/2020","Hampden",0
"3/13/2020","Hampshire",0
"3/13/2020","Middlesex",60
"3/13/2020","Nantucket",0
"3/13/2020","Norfolk",24
"3/13/2020","Plymouth",0
"3/13/2020","Suffolk",26
"3/13/2020","Worcester",2
"3/13/2020","Unknown",0
"3/14/2020","Barnstable",1
"3/14/2020","Berkshire",9
"3/14/2020","Bristol",1
"3/14/2020","Dukes",0
"3/14/2020","Essex",5
"3/14/2020","Franklin",0
"3/14/2020","Hampden",0
"3/14/2020","Hampshire",0
"3/14/2020","Middlesex",65
"3/14/2020","Nantucket",0
"3/14/2020","Norfolk",28
"3/14/2020","Plymouth",0
"3/14/2020","Suffolk",27
"3/14/2020","Worcester",2
"3/14/2020","Unknown",0
"3/15/2020","Barnstable",1
"3/15/2020","Berkshire",9
"3/15/2020","Bristol",1
"3/15/2020","Dukes",0
"3/15/2020","Essex",6
"3/15/2020","Franklin",0
"3/15/2020","Hampden",1
"3/15/2020","Hampshire",0
"3/15/2020","Middlesex",75
"3/15/2020","Nantucket",0
"3/15/2020","Norfolk",31
"3/15/2020","Plymouth",1
"3/15/2020","Suffolk",31
"3/15/2020","Worcester",6
"3/15/2020","Unknown",2
"3/16/2020","Barnstable",1
"3/16/2020","Berkshire",11
"3/16/2020","Bristol",2
"3/16/2020","Dukes",0
"3/16/2020","Essex",8
"3/16/2020","Franklin",0
"3/16/2020","Hampden",1
"3/16/2020","Hampshire",0
"3/16/2020","Middlesex",83
"3/16/2020","Nantucket",0
"3/16/2020","Norfolk",36
"3/16/2020","Plymouth",3
"3/16/2020","Suffolk",36
"3/16/2020","Worcester",6
"3/16/2020","Unknown",10
"3/17/2020","Barnstable",2
"3/17/2020","Berkshire",14
"3/17/2020","Bristol",5
"3/17/2020","Dukes",0
"3/17/2020","Essex",8
"3/17/2020","Franklin",0
"3/17/2020","Hampden",1
"3/17/2020","Hampshire",0
"3/17/2020","Middlesex",89
"3/17/2020","Nantucket",0
"3/17/2020","Norfolk",43
"3/17/2020","Plymouth",5
"3/17/2020","Suffolk",42
"3/17/2020","Worcester",8
"3/17/2020","Unknown",1
"3/18/2020","Barnstable",2
"3/18/2020","Berkshire",17
"3/18/2020","Bristol",5
"3/18/2020","Dukes",0
"3/18/2020","Essex",14
"3/18/2020","Franklin",1
"3/18/2020","Hampden",2
"3/18/2020","Hampshire",0
"3/18/2020","Middlesex",100
"3/18/2020","Nantucket",0
"3/18/2020","Norfolk",45
"3/18/2020","Plymouth",5
"3/18/2020","Suffolk",51
"3/18/2020","Worcester",10
"3/18/2020","Unknown",4
"3/19/2020","Barnstable",5
"3/19/2020","Berkshire",18
"3/19/2020","Bristol",6
"3/19/2020","Dukes",0
"3/19/2020","Essex",19
"3/19/2020","Franklin",1
"3/19/2020","Hampden",3
"3/19/2020","Hampshire",1
"3/19/2020","Middlesex",119
"3/19/2020","Nantucket",0
"3/19/2020","Norfolk",52
"3/19/2020","Plymouth",5
"3/19/2020","Suffolk",72
"3/19/2020","Worcester",14
"3/19/2020","Unknown",13
"3/20/2020","Barnstable",9
"3/20/2020","Berkshire",20
"3/20/2020","Bristol",6
"3/20/2020","Dukes",0
"3/20/2020","Essex",29
"3/20/2020","Franklin",1
"3/20/2020","Hampden",3
"3/20/2020","Hampshire",2
"3/20/2020","Middlesex",144
"3/20/2020","Nantucket",0
"3/20/2020","Norfolk",64
"3/20/2020","Plymouth",11
"3/20/2020","Suffolk",86
"3/20/2020","Worcester",19
"3/20/2020","Unknown",19
"3/21/2020","Barnstable",11
"3/21/2020","Berkshire",21
"3/21/2020","Bristol",14
"3/21/2020","Dukes",0.5
"3/21/2020","Essex",41
"3/21/2020","Franklin",2
"3/21/2020","Hampden",9
"3/21/2020","Hampshire",2
"3/21/2020","Middlesex",177
"3/21/2020","Nantucket",0.5
"3/21/2020","Norfolk",69
"3/21/2020","Plymouth",20
"3/21/2020","Suffolk",108
"3/21/2020","Worcester",24
"3/21/2020","Unknown",1
"3/22/2020","Barnstable",24
"3/22/2020","Berkshire",23
"3/22/2020","Bristol",24
"3/22/2020","Dukes",0.5
"3/22/2020","Essex",60
"3/22/2020","Franklin",2
"3/22/2020","Hampden",12
"3/22/2020","Hampshire",4
"3/22/2020","Middlesex",199
"3/22/2020","Nantucket",0.5
"3/22/2020","Norfolk",75
"3/22/2020","Plymouth",25
"3/22/2020","Suffolk",126
"3/22/2020","Worcester",37
"3/22/2020","Unknown",34
"3/23/2020","Barnstable",30
"3/23/2020","Berkshire",26
"3/23/2020","Bristol",25
"3/23/2020","Dukes",0.5
"3/23/2020","Essex",73
"3/23/2020","Franklin",2
"3/23/2020","Hampden",15
"3/23/2020","Hampshire",6
"3/23/2020","Middlesex",232
"3/23/2020","Nantucket",0.5
"3/23/2020","Norfolk",82
"3/23/2020","Plymouth",32
"3/23/2020","Suffolk",154
"3/23/2020","Worcester",42
"3/23/2020","Unknown",57
"3/24/2020","Barnstable",40
"3/24/2020","Berkshire",37
"3/24/2020","Bristol",31
"3/24/2020","Dukes",1
"3/24/2020","Essex",118
"3/24/2020","Franklin",5
"3/24/2020","Hampden",24
"3/24/2020","Hampshire",8
"3/24/2020","Middlesex",304
"3/24/2020","Nantucket",1
"3/24/2020","Norfolk",129
"3/24/2020","Plymouth",64
"3/24/2020","Suffolk",234
"3/24/2020","Worcester",73
"3/24/2020","Unknown",90
"3/25/2020","Barnstable",51
"3/25/2020","Berkshire",71
"3/25/2020","Bristol",67
"3/25/2020","Dukes",1.5
"3/25/2020","Essex",177
"3/25/2020","Franklin",14
"3/25/2020","Hampden",45
"3/25/2020","Hampshire",11
"3/25/2020","Middlesex",446
"3/25/2020","Nantucket",1.5
"3/25/2020","Norfolk",222
"3/25/2020","Plymouth",101
"3/25/2020","Suffolk",342
"3/25/2020","Worcester",129
"3/25/2020","Unknown",159
"3/26/2020","Barnstable",67
"3/26/2020","Berkshire",73
"3/26/2020","Bristol",90
"3/26/2020","Dukes",1.5
"3/26/2020","Essex",247
